Gene stable ID	Gene name	Gene description
ENSG00000196564	RP3-499B10.3	
ENSG00000253188	TRBV6-7	T-cell receptor beta variable 6-7 (non-functional) [Source:HGNC Symbol;Acc:HGNC:12232]
ENSG00000167969	ECI1	enoyl-CoA delta isomerase 1 [Source:HGNC Symbol;Acc:HGNC:2703]
ENSG00000211725	TRBV5-5	T-cell receptor beta variable 5-5 [Source:HGNC Symbol;Acc:HGNC:12222]
ENSG00000183908	LRRC55	leucine rich repeat containing 55 [Source:HGNC Symbol;Acc:HGNC:32324]
ENSG00000254307	KB-1608C10.2	
ENSG00000163491	NEK10	NIMA related kinase 10 [Source:HGNC Symbol;Acc:HGNC:18592]
ENSG00000267787	RP11-35G9.5	
ENSG00000257949	TEN1	TEN1, CST complex subunit [Source:HGNC Symbol;Acc:HGNC:37242]
ENSG00000242748	RPL23AP81	ribosomal protein L23a pseudogene 81 [Source:HGNC Symbol;Acc:HGNC:36246]
ENSG00000259030	FPGT-TNNI3K	FPGT-TNNI3K readthrough [Source:HGNC Symbol;Acc:HGNC:42952]
ENSG00000250114	CTB-95B16.1	
ENSG00000243521	RPL5P33	ribosomal protein L5 pseudogene 33 [Source:HGNC Symbol;Acc:HGNC:36703]
ENSG00000187257	RSBN1L	round spermatid basic protein 1 like [Source:HGNC Symbol;Acc:HGNC:24765]
ENSG00000211753	TRBV28	T-cell receptor beta variable 28 [Source:HGNC Symbol;Acc:HGNC:12209]
ENSG00000227741	RP11-536C5.7	
ENSG00000243775	OSTCP1	oligosaccharyltransferase complex subunit pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:30530]
ENSG00000171560	FGA	fibrinogen alpha chain [Source:HGNC Symbol;Acc:HGNC:3661]
ENSG00000229595	RP5-1097F14.1	
ENSG00000155918	RAET1L	retinoic acid early transcript 1L [Source:HGNC Symbol;Acc:HGNC:16798]
ENSG00000233893	EZR-AS1	EZR antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40609]
ENSG00000159596	TMEM69	transmembrane protein 69 [Source:HGNC Symbol;Acc:HGNC:28035]
ENSG00000230896	RP11-767N6.7	
ENSG00000204584	RP11-304F15.3	
ENSG00000197822	OCLN	occludin [Source:HGNC Symbol;Acc:HGNC:8104]
ENSG00000102007	PLP2	proteolipid protein 2 [Source:HGNC Symbol;Acc:HGNC:9087]
ENSG00000234617	SNRK-AS1	SNRK antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:41269]
ENSG00000249140	PRDX2P3	peroxiredoxin 2 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:44968]
ENSG00000174407	MIR1-1HG	MIR1-1 host gene [Source:HGNC Symbol;Acc:HGNC:16159]
ENSG00000232159	RAB9BP1	RAB9B, member RAS oncogene family pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:9793]
ENSG00000188487	INSC	inscuteable homolog (Drosophila) [Source:HGNC Symbol;Acc:HGNC:33116]
ENSG00000214651	RP11-477J21.2	
ENSG00000119396	RAB14	RAB14, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:16524]
ENSG00000197779	ZNF81	zinc finger protein 81 [Source:HGNC Symbol;Acc:HGNC:13156]
ENSG00000266904	LINC00663	long intergenic non-protein coding RNA 663 [Source:HGNC Symbol;Acc:HGNC:28609]
ENSG00000073060	SCARB1	scavenger receptor class B member 1 [Source:HGNC Symbol;Acc:HGNC:1664]
ENSG00000272685	OR9I3P	olfactory receptor family 9 subfamily I member 3 pseudogene [Source:HGNC Symbol;Acc:HGNC:15325]
ENSG00000234754	C1orf140	uncharacterized LOC400804 [Source:EntrezGene;Acc:400804]
ENSG00000112031	MTRF1L	mitochondrial translational release factor 1 like [Source:HGNC Symbol;Acc:HGNC:21051]
ENSG00000231817	LINC01198	long intergenic non-protein coding RNA 1198 [Source:HGNC Symbol;Acc:HGNC:49598]
ENSG00000232436	RP11-103C3.1	
ENSG00000268784	MGC2752	
ENSG00000267858	MZF1-AS1	MZF1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:51271]
ENSG00000227585	RP11-103C3.2	
ENSG00000273014	RP11-225B17.2	
ENSG00000227019	OR7E101P	olfactory receptor family 7 subfamily E member 101 pseudogene [Source:HGNC Symbol;Acc:HGNC:15342]
ENSG00000124596	OARD1	O-acyl-ADP-ribose deacylase 1 [Source:HGNC Symbol;Acc:HGNC:21257]
ENSG00000188542	DUSP28	dual specificity phosphatase 28 [Source:HGNC Symbol;Acc:HGNC:33237]
ENSG00000230243	FKBP1AP3	FK506 binding protein 1A pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:3716]
ENSG00000224982	TMEM233	transmembrane protein 233 [Source:HGNC Symbol;Acc:HGNC:37219]
ENSG00000213753	CENPBD1P1	CENPB DNA-binding domains containing 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:28421]
ENSG00000177570	SAMD12	sterile alpha motif domain containing 12 [Source:HGNC Symbol;Acc:HGNC:31750]
ENSG00000237478	RP5-926E3.1	
ENSG00000179796	LRRC3B	leucine rich repeat containing 3B [Source:HGNC Symbol;Acc:HGNC:28105]
ENSG00000239694	RPSAP38	ribosomal protein SA pseudogene 38 [Source:HGNC Symbol;Acc:HGNC:35963]
ENSG00000103353	UBFD1	ubiquitin family domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30565]
ENSG00000225846	RP11-630D6.1	
ENSG00000104419	NDRG1	N-myc downstream regulated 1 [Source:HGNC Symbol;Acc:HGNC:7679]
ENSG00000186094	AGBL4	ATP/GTP binding protein like 4 [Source:HGNC Symbol;Acc:HGNC:25892]
ENSG00000248636	RP11-768F21.1	
ENSG00000169245	CXCL10	C-X-C motif chemokine ligand 10 [Source:HGNC Symbol;Acc:HGNC:10637]
ENSG00000230825	AC005532.5	
ENSG00000173572	NLRP13	NLR family pyrin domain containing 13 [Source:HGNC Symbol;Acc:HGNC:22937]
ENSG00000164604	GPR85	G protein-coupled receptor 85 [Source:HGNC Symbol;Acc:HGNC:4536]
ENSG00000225935	BANF1P5	barrier to autointegration factor 1 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:43885]
ENSG00000242990	RPL13AP23	ribosomal protein L13a pseudogene 23 [Source:HGNC Symbol;Acc:HGNC:36498]
ENSG00000183273	CCDC60	coiled-coil domain containing 60 [Source:HGNC Symbol;Acc:HGNC:28610]
ENSG00000257918	RP11-482D24.3	
ENSG00000249266	MTHFD2P6	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:48864]
ENSG00000257711	RP11-482D24.2	
ENSG00000269600	AC016629.3	
ENSG00000236712	AC079448.1	
ENSG00000257545	RP11-144F15.1	
ENSG00000268336	SIGLEC20P	sialic acid binding Ig like lectin 20, pseudogene [Source:HGNC Symbol;Acc:HGNC:15609]
ENSG00000156219	ART3	ADP-ribosyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:725]
ENSG00000162373	BEND5	BEN domain containing 5 [Source:HGNC Symbol;Acc:HGNC:25668]
ENSG00000216621	RP11-244K5.6	
ENSG00000260786	RP11-112L7.1	
ENSG00000165916	PSMC3	proteasome 26S subunit, ATPase 3 [Source:HGNC Symbol;Acc:HGNC:9549]
ENSG00000112214	FHL5	four and a half LIM domains 5 [Source:HGNC Symbol;Acc:HGNC:17371]
ENSG00000185033	SEMA4B	semaphorin 4B [Source:HGNC Symbol;Acc:HGNC:10730]
ENSG00000130700	GATA5	GATA binding protein 5 [Source:HGNC Symbol;Acc:HGNC:15802]
ENSG00000268652	CTD-3187F8.7	
ENSG00000229771	RP4-644L1.2	
ENSG00000138688	KIAA1109	KIAA1109 [Source:HGNC Symbol;Acc:HGNC:26953]
ENSG00000228126	FALEC	focally amplified long non-coding RNA in epithelial cancer [Source:HGNC Symbol;Acc:HGNC:43713]
ENSG00000225885	AC023590.1	
ENSG00000269253	SIGLEC21P	sialic acid binding Ig like lectin 21, pseudogene [Source:HGNC Symbol;Acc:HGNC:15610]
ENSG00000175348	TMEM9B	TMEM9 domain family member B [Source:HGNC Symbol;Acc:HGNC:1168]
ENSG00000124209	RAB22A	RAB22A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9764]
ENSG00000091137	SLC26A4	solute carrier family 26 member 4 [Source:HGNC Symbol;Acc:HGNC:8818]
ENSG00000113811	SELENOK	selenoprotein K [Source:HGNC Symbol;Acc:HGNC:30394]
ENSG00000242206	RPS26P35	ribosomal protein S26 pseudogene 35 [Source:HGNC Symbol;Acc:HGNC:36229]
ENSG00000143507	DUSP10	dual specificity phosphatase 10 [Source:HGNC Symbol;Acc:HGNC:3065]
ENSG00000261222	CTD-2006K23.1	
ENSG00000260247	SUB1P4	SUB1 homolog, transcriptional regulator pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:43994]
ENSG00000131015	ULBP2	UL16 binding protein 2 [Source:HGNC Symbol;Acc:HGNC:14894]
ENSG00000230114	RP11-141A19.2	
ENSG00000260751	CTD-2196E14.6	
ENSG00000229846	RP11-141A19.1	
ENSG00000225623	AGBL4-IT1	AGBL4 intronic transcript 1 [Source:HGNC Symbol;Acc:HGNC:41482]
ENSG00000229781	AC013444.1	
ENSG00000233595	MTND2P29	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 pseudogene 29 [Source:HGNC Symbol;Acc:HGNC:42130]
ENSG00000170145	SIK2	salt inducible kinase 2 [Source:HGNC Symbol;Acc:HGNC:21680]
ENSG00000240163	RP11-745A24.1	
ENSG00000215887	ZNF859P	zinc finger protein 859, pseudogene [Source:HGNC Symbol;Acc:HGNC:34507]
ENSG00000158042	MRPL17	mitochondrial ribosomal protein L17 [Source:HGNC Symbol;Acc:HGNC:14053]
ENSG00000178187	ZNF454	zinc finger protein 454 [Source:HGNC Symbol;Acc:HGNC:21200]
ENSG00000242983	CABYRP1	calcium binding tyrosine phosphorylation regulated pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:31902]
ENSG00000186407	CD300E	CD300e molecule [Source:HGNC Symbol;Acc:HGNC:28874]
ENSG00000256681	CCDC58P5	coiled-coil domain containing 58 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:45028]
ENSG00000111981	ULBP1	UL16 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:14893]
ENSG00000257824	RP11-1049A21.2	
ENSG00000136697	IL1F10	interleukin 1 family member 10 (theta) [Source:HGNC Symbol;Acc:HGNC:15552]
ENSG00000237530	RP3-449H6.1	
ENSG00000123338	NCKAP1L	NCK associated protein 1 like [Source:HGNC Symbol;Acc:HGNC:4862]
ENSG00000235286	AP000925.2	
ENSG00000241678	RP11-732A19.1	
ENSG00000240268	MOXD2P	monooxygenase, DBH-like 2, pseudogene [Source:HGNC Symbol;Acc:HGNC:33605]
ENSG00000228318	AP001610.5	
ENSG00000233705	SLC26A4-AS1	SLC26A4 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:22385]
ENSG00000179709	NLRP8	NLR family pyrin domain containing 8 [Source:HGNC Symbol;Acc:HGNC:22940]
ENSG00000272050	RP13-379O24.3	
ENSG00000211746	TRBV19	T-cell receptor beta variable 19 [Source:HGNC Symbol;Acc:HGNC:12194]
ENSG00000137713	PPP2R1B	protein phosphatase 2 scaffold subunit Abeta [Source:HGNC Symbol;Acc:HGNC:9303]
ENSG00000110958	PTGES3	prostaglandin E synthase 3 [Source:HGNC Symbol;Acc:HGNC:16049]
ENSG00000167900	TK1	thymidine kinase 1 [Source:HGNC Symbol;Acc:HGNC:11830]
ENSG00000225953	SATB2-AS1	SATB2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:26490]
ENSG00000135374	ELF5	E74 like ETS transcription factor 5 [Source:HGNC Symbol;Acc:HGNC:3320]
ENSG00000254838	GVINP1	GTPase, very large interferon inducible pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:25813]
ENSG00000233477	RP11-45P22.2	
ENSG00000254860	TMEM9B-AS1	TMEM9B antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:19230]
ENSG00000213260	YWHAZP5	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:30564]
ENSG00000157601	MX1	MX dynamin like GTPase 1 [Source:HGNC Symbol;Acc:HGNC:7532]
ENSG00000260542	RP13-379O24.2	
ENSG00000257045	RP11-486F17.1	
ENSG00000272569	OR5BL1P	olfactory receptor family 5 subfamily BL member 1 pseudogene [Source:HGNC Symbol;Acc:HGNC:15275]
ENSG00000228709	AP001065.15	
ENSG00000229968	RP3-393P12.1	
ENSG00000168522	FNTA	farnesyltransferase, CAAX box, alpha [Source:HGNC Symbol;Acc:HGNC:3782]
ENSG00000186509	OR9Q1	olfactory receptor family 9 subfamily Q member 1 [Source:HGNC Symbol;Acc:HGNC:14724]
ENSG00000119042	SATB2	SATB homeobox 2 [Source:HGNC Symbol;Acc:HGNC:21637]
ENSG00000167797	CDK2AP2	cyclin dependent kinase 2 associated protein 2 [Source:HGNC Symbol;Acc:HGNC:30833]
ENSG00000236541	VN2R9P	vomeronasal 2 receptor 9 pseudogene [Source:HGNC Symbol;Acc:HGNC:33215]
ENSG00000255131	OR9L1P	olfactory receptor family 9 subfamily L member 1 pseudogene [Source:HGNC Symbol;Acc:HGNC:14761]
ENSG00000186508	OR9I2P	olfactory receptor family 9 subfamily I member 2 pseudogene [Source:HGNC Symbol;Acc:HGNC:15324]
ENSG00000263120	RP5-1107A17.4	
ENSG00000206932	RNU6-4P	RNA, U6 small nuclear 4, pseudogene [Source:HGNC Symbol;Acc:HGNC:34253]
ENSG00000201586	RNU6-593P	RNA, U6 small nuclear 593, pseudogene [Source:HGNC Symbol;Acc:HGNC:47556]
ENSG00000207088	SNORA7B	small nucleolar RNA, H/ACA box 7B [Source:HGNC Symbol;Acc:HGNC:32593]
ENSG00000266128	RN7SL366P	RNA, 7SL, cytoplasmic 366, pseudogene [Source:HGNC Symbol;Acc:HGNC:46382]
ENSG00000222222	RNU2-17P	RNA, U2 small nuclear 17, pseudogene [Source:HGNC Symbol;Acc:HGNC:48510]
ENSG00000200164	Y_RNA	Y RNA [Source:RFAM;Acc:RF00019]
ENSG00000201343	Y_RNA	Y RNA [Source:RFAM;Acc:RF00019]
ENSG00000200756	RNU6-236P	RNA, U6 small nuclear 236, pseudogene [Source:HGNC Symbol;Acc:HGNC:47199]
ENSG00000207389	RNU1-4	RNA, U1 small nuclear 4 [Source:HGNC Symbol;Acc:HGNC:10128]
ENSG00000207457	RNU6-476P	RNA, U6 small nuclear 476, pseudogene [Source:HGNC Symbol;Acc:HGNC:47439]
ENSG00000222588	SNORA19	Small nucleolar RNA SNORA19 [Source:RFAM;Acc:RF00413]
ENSG00000223260	RN7SKP194	RNA, 7SK small nuclear pseudogene 194 [Source:HGNC Symbol;Acc:HGNC:45918]
ENSG00000266195	RN7SL163P	RNA, 7SL, cytoplasmic 163, pseudogene [Source:HGNC Symbol;Acc:HGNC:46179]
ENSG00000240803	RN7SL231P	RNA, 7SL, cytoplasmic 231, pseudogene [Source:HGNC Symbol;Acc:HGNC:46247]
ENSG00000253602	RN7SL260P	RNA, 7SL, cytoplasmic 260, pseudogene [Source:HGNC Symbol;Acc:HGNC:46276]
ENSG00000222179	RN7SKP26	RNA, 7SK small nuclear pseudogene 26 [Source:HGNC Symbol;Acc:HGNC:45750]
ENSG00000251935	RN7SKP179	RNA, 7SK small nuclear pseudogene 179 [Source:HGNC Symbol;Acc:HGNC:45903]
ENSG00000221803	SNORD23	small nucleolar RNA, C/D box 23 [Source:HGNC Symbol;Acc:HGNC:32718]
ENSG00000200169	RNU5D-1	RNA, U5D small nuclear 1 [Source:HGNC Symbol;Acc:HGNC:10214]
ENSG00000243856	RN7SL551P	RNA, 7SL, cytoplasmic 551, pseudogene [Source:HGNC Symbol;Acc:HGNC:46567]
ENSG00000211997	MIR708	microRNA 708 [Source:HGNC Symbol;Acc:HGNC:33654]
ENSG00000199801	Y_RNA	Y RNA [Source:RFAM;Acc:RF00019]
ENSG00000199571	SNORA22	Small nucleolar RNA SNORA22 [Source:RFAM;Acc:RF00414]
ENSG00000200070	RNU4-80P	RNA, U4 small nuclear 80, pseudogene [Source:HGNC Symbol;Acc:HGNC:47016]
ENSG00000272533	SNORA28	small nucleolar RNA, H/ACA box 28 [Source:HGNC Symbol;Acc:HGNC:32618]
ENSG00000200356	RNU6-833P	RNA, U6 small nuclear 833, pseudogene [Source:HGNC Symbol;Acc:HGNC:47796]
ENSG00000240718	RN7SL851P	RNA, 7SL, cytoplasmic 851, pseudogene [Source:HGNC Symbol;Acc:HGNC:46867]
ENSG00000212579	SNORA40	Small nucleolar RNA SNORA40 [Source:RFAM;Acc:RF00561]
ENSG00000201371	Y_RNA	Y RNA [Source:RFAM;Acc:RF00019]
ENSG00000199306	RNU6-858P	RNA, U6 small nuclear 858, pseudogene [Source:HGNC Symbol;Acc:HGNC:47821]
ENSG00000223012	RN7SKP264	RNA, 7SK small nuclear pseudogene 264 [Source:HGNC Symbol;Acc:HGNC:45988]
ENSG00000199562	RNU6-37P	RNA, U6 small nuclear 37, pseudogene [Source:HGNC Symbol;Acc:HGNC:34281]
ENSG00000206647	SNORA2	Small nucleolar RNA SNORA2/SNORA34 family [Source:RFAM;Acc:RF00410]
ENSG00000252069	Y_RNA	Y RNA [Source:RFAM;Acc:RF00019]
ENSG00000243738	RN7SL181P	RNA, 7SL, cytoplasmic 181, pseudogene [Source:HGNC Symbol;Acc:HGNC:46197]
ENSG00000240663	RN7SL310P	RNA, 7SL, cytoplasmic 310, pseudogene [Source:HGNC Symbol;Acc:HGNC:46326]
ENSG00000222465	RNU2-5P	RNA, U2 small nuclear 5, pseudogene [Source:HGNC Symbol;Acc:HGNC:10155]
ENSG00000194297	RNU1-75P	RNA, U1 small nuclear 75, pseudogene [Source:HGNC Symbol;Acc:HGNC:48417]
ENSG00000272465	RP1-136B1.1	
ENSG00000181031	RPH3AL	rabphilin 3A-like (without C2 domains) [Source:HGNC Symbol;Acc:HGNC:10296]
ENSG00000104825	NFKBIB	NFKB inhibitor beta [Source:HGNC Symbol;Acc:HGNC:7798]
ENSG00000179170	OR7E97P	olfactory receptor family 7 subfamily E member 97 pseudogene [Source:HGNC Symbol;Acc:HGNC:14834]
ENSG00000236583	AP004290.1	
ENSG00000237704	AP004289.2	
ENSG00000255545	RP11-627G23.1	
ENSG00000166105	GLB1L3	galactosidase beta 1 like 3 [Source:HGNC Symbol;Acc:HGNC:25147]
ENSG00000143816	WNT9A	Wnt family member 9A [Source:HGNC Symbol;Acc:HGNC:12778]
ENSG00000253911	KB-1205A7.2	
ENSG00000224346	BICD1P1	BICD cargo adaptor 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:51374]
ENSG00000224834	BTF3P9	basic transcription factor 3 pseudogene 9 [Source:HGNC Symbol;Acc:HGNC:38573]
ENSG00000224438	RPL23AP14	ribosomal protein L23a pseudogene 14 [Source:HGNC Symbol;Acc:HGNC:21007]
ENSG00000064419	TNPO3	transportin 3 [Source:HGNC Symbol;Acc:HGNC:17103]
ENSG00000181123	RP4-539M6.14	
ENSG00000267207	RP11-264B14.1	
ENSG00000166263	STXBP4	syntaxin binding protein 4 [Source:HGNC Symbol;Acc:HGNC:19694]
ENSG00000248596	RP11-844P9.5	
ENSG00000234071	RP11-420H19.1	
ENSG00000110080	ST3GAL4	ST3 beta-galactoside alpha-2,3-sialyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:10864]
ENSG00000255858	RP11-612B6.1	
ENSG00000223705	NSUN5P1	NOP2/Sun RNA methyltransferase family member 5 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:19146]
ENSG00000256440	RP11-443N24.3	
ENSG00000106302	HYAL4	hyaluronoglucosaminidase 4 [Source:HGNC Symbol;Acc:HGNC:5323]
ENSG00000272686	RP11-390E23.6	
ENSG00000237555	RP5-862K6.4	
ENSG00000147421	HMBOX1	homeobox containing 1 [Source:HGNC Symbol;Acc:HGNC:26137]
ENSG00000091010	POU4F3	POU class 4 homeobox 3 [Source:HGNC Symbol;Acc:HGNC:9220]
ENSG00000253832	CTD-2168K21.1	
ENSG00000061455	PRDM6	PR/SET domain 6 [Source:HGNC Symbol;Acc:HGNC:9350]
ENSG00000256364	RP11-173P15.3	
ENSG00000152894	PTPRK	protein tyrosine phosphatase, receptor type K [Source:HGNC Symbol;Acc:HGNC:9674]
ENSG00000236439	RP11-175B9.3	
ENSG00000221988	PPT2	palmitoyl-protein thioesterase 2 [Source:HGNC Symbol;Acc:HGNC:9326]
ENSG00000154144	TBRG1	transforming growth factor beta regulator 1 [Source:HGNC Symbol;Acc:HGNC:29551]
ENSG00000110013	SIAE	sialic acid acetylesterase [Source:HGNC Symbol;Acc:HGNC:18187]
ENSG00000168259	DNAJC7	DnaJ heat shock protein family (Hsp40) member C7 [Source:HGNC Symbol;Acc:HGNC:12392]
ENSG00000141371	C17orf64	chromosome 17 open reading frame 64 [Source:HGNC Symbol;Acc:HGNC:26990]
ENSG00000164074	ABHD18	abhydrolase domain containing 18 [Source:HGNC Symbol;Acc:HGNC:26111]
ENSG00000254937	RP11-728D14.6	
ENSG00000185813	PCYT2	phosphate cytidylyltransferase 2, ethanolamine [Source:HGNC Symbol;Acc:HGNC:8756]
ENSG00000228548	ITPKB-AS1	ITPKB antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40312]
ENSG00000106410	NOBOX	NOBOX oogenesis homeobox [Source:HGNC Symbol;Acc:HGNC:22448]
ENSG00000273059	XXyac-YX155B6.7	
ENSG00000155368	DBI	diazepam binding inhibitor, acyl-CoA binding protein [Source:HGNC Symbol;Acc:HGNC:2690]
ENSG00000182783	OR2T29	olfactory receptor family 2 subfamily T member 29 [Source:HGNC Symbol;Acc:HGNC:31253]
ENSG00000253762	RP11-579E24.2	
ENSG00000232363	RP1-102D24.5	
ENSG00000205707	ETFRF1	electron transfer flavoprotein regulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:27052]
ENSG00000262576	PCDHGA4	protocadherin gamma subfamily A, 4 [Source:HGNC Symbol;Acc:HGNC:8702]
ENSG00000182742	HOXB4	homeobox B4 [Source:HGNC Symbol;Acc:HGNC:5115]
ENSG00000272249	KB-1958F4.2	
ENSG00000177201	OR2T12	olfactory receptor family 2 subfamily T member 12 [Source:HGNC Symbol;Acc:HGNC:19592]
ENSG00000109944	C11orf63	chromosome 11 open reading frame 63 [Source:HGNC Symbol;Acc:HGNC:26288]
ENSG00000186132	C2orf76	chromosome 2 open reading frame 76 [Source:HGNC Symbol;Acc:HGNC:27017]
ENSG00000198601	OR2M2	olfactory receptor family 2 subfamily M member 2 [Source:HGNC Symbol;Acc:HGNC:8268]
ENSG00000197454	OR2L5	olfactory receptor family 2 subfamily L member 5 [Source:HGNC Symbol;Acc:HGNC:15011]
ENSG00000224227	OR2L1P	olfactory receptor family 2 subfamily L member 1 pseudogene [Source:HGNC Symbol;Acc:HGNC:8265]
ENSG00000238168	RP11-686G8.1	
ENSG00000237492	OR2L9P	olfactory receptor family 2 subfamily L member 9 pseudogene [Source:HGNC Symbol;Acc:HGNC:15015]
ENSG00000224653	RP11-548K12.10	
ENSG00000197721	CR1L	complement C3b/C4b receptor 1 like [Source:HGNC Symbol;Acc:HGNC:2335]
ENSG00000226289	CDCA4P3	cell division cycle associated 4 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:49772]
ENSG00000163064	EN1	engrailed homeobox 1 [Source:HGNC Symbol;Acc:HGNC:3342]
ENSG00000213302	RP11-560I19.2	
ENSG00000258910	LINC01956	long intergenic non-protein coding RNA 1956 [Source:HGNC Symbol;Acc:HGNC:52777]
ENSG00000133067	LGR6	leucine rich repeat containing G protein-coupled receptor 6 [Source:HGNC Symbol;Acc:HGNC:19719]
ENSG00000102882	MAPK3	mitogen-activated protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:6877]
ENSG00000232460	BMPR1APS2	bone morphogenetic protein receptor type 1A pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:21743]
ENSG00000068079	IFI35	interferon induced protein 35 [Source:HGNC Symbol;Acc:HGNC:5399]
ENSG00000244086	RPS20P35	ribosomal protein S20 pseudogene 35 [Source:HGNC Symbol;Acc:HGNC:36929]
ENSG00000049283	EPN3	epsin 3 [Source:HGNC Symbol;Acc:HGNC:18235]
ENSG00000142186	SCYL1	SCY1 like pseudokinase 1 [Source:HGNC Symbol;Acc:HGNC:14372]
ENSG00000221836	OR2A5	olfactory receptor family 2 subfamily A member 5 [Source:HGNC Symbol;Acc:HGNC:8232]
ENSG00000231927	AC102953.6	
ENSG00000246174	KCTD21-AS1	KCTD21 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:48674]
ENSG00000268027	AC006129.2	
ENSG00000105808	RASA4	RAS p21 protein activator 4 [Source:HGNC Symbol;Acc:HGNC:23181]
ENSG00000131013	PPIL4	peptidylprolyl isomerase like 4 [Source:HGNC Symbol;Acc:HGNC:15702]
ENSG00000245248	USP2-AS1	USP2 antisense RNA 1 (head to head) [Source:HGNC Symbol;Acc:HGNC:48673]
ENSG00000254740	RP11-334E6.3	
ENSG00000231154	MORF4L2-AS1	MORF4L2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:27991]
ENSG00000244021	RP11-50D9.1	
ENSG00000175334	BANF1	barrier to autointegration factor 1 [Source:HGNC Symbol;Acc:HGNC:17397]
ENSG00000254163	CTC-340I23.2	
ENSG00000272017	RP1-199J3.7	
ENSG00000109193	SULT1E1	sulfotransferase family 1E member 1 [Source:HGNC Symbol;Acc:HGNC:11377]
ENSG00000228830	RP4-781K5.2	
ENSG00000167702	KIFC2	kinesin family member C2 [Source:HGNC Symbol;Acc:HGNC:29530]
ENSG00000249514	TMEM251P1	transmembrane protein 251 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:52396]
ENSG00000113100	CDH9	cadherin 9 [Source:HGNC Symbol;Acc:HGNC:1768]
ENSG00000101333	PLCB4	phospholipase C beta 4 [Source:HGNC Symbol;Acc:HGNC:9059]
ENSG00000254829	RP11-7I15.3	
ENSG00000215274	GAGE10	G antigen 10 [Source:HGNC Symbol;Acc:HGNC:30968]
ENSG00000181013	C17orf47	chromosome 17 open reading frame 47 [Source:HGNC Symbol;Acc:HGNC:26844]
ENSG00000113302	IL12B	interleukin 12B [Source:HGNC Symbol;Acc:HGNC:5970]
ENSG00000230531	MTND5P7	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:42269]
ENSG00000162390	ACOT11	acyl-CoA thioesterase 11 [Source:HGNC Symbol;Acc:HGNC:18156]
ENSG00000236911	RP11-78B10.2	
ENSG00000188404	SELL	selectin L [Source:HGNC Symbol;Acc:HGNC:10720]
ENSG00000255622	PCDHB17P	protocadherin beta 17 pseudogene [Source:HGNC Symbol;Acc:HGNC:14547]
ENSG00000007314	SCN4A	sodium voltage-gated channel alpha subunit 4 [Source:HGNC Symbol;Acc:HGNC:10591]
ENSG00000254459	RP11-91P24.7	
ENSG00000165186	PTCHD1	patched domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26392]
ENSG00000163041	H3F3A	H3 histone family member 3A [Source:HGNC Symbol;Acc:HGNC:4764]
ENSG00000232480	TGFB2-AS1	TGFB2 antisense RNA 1 (head to head) [Source:HGNC Symbol;Acc:HGNC:50628]
ENSG00000184009	ACTG1	actin gamma 1 [Source:HGNC Symbol;Acc:HGNC:144]
ENSG00000239413	RPS27P23	ribosomal protein S27 pseudogene 23 [Source:HGNC Symbol;Acc:HGNC:35716]
